site_description,site,unit,unitclass,commodity_group,commodity_description,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M,source
Norcross,SPN,CWT,Weight,1VNL,LVT,0.12240000000000001,0.1115,0.08289999999999999,0.0626,0.0626,0.049699999999999994,0.0421,0.0421,0.0421,0.0421,vendor
Itasca,SPN,CWT,Weight,1VNL,LVT,0.7352175684920937,0.19358377263576798,0.1335871912633644,0.057235902050695,0.1261451613761989,0.06510284965426746,0.037739831977805234,0.0261893856651281,,0.0180818252981386,hist_avg
Itasca,SPN,CWT,Weight,1VNL,LVT,0.38681093240544884,0.18879120662482118,0.13667165089052594,0.055437810585807955,0.13426785555344595,0.058320174655700226,0.037086210520198414,0.0261893856651281,,0.018431977280881286,hist_wavg
Itasca,SPN,CWT,Weight,1VNL,LVT,0.9771628661098599,0.1422968603605187,0.08507805748920386,0.0625854470934105,0.06258532332622024,0.04968805357990524,0.04048837480116136,0.0260996151695906,,0.0210123057731215,xgs_avg
Itasca,SPN,CWT,Weight,1VNL,LVT,0.46191645674134035,0.1383723362659911,0.08460428328515969,0.06258546545389346,0.06258530910901915,0.04968808212845611,0.040300373197584276,0.0260996151695906,,0.021181129447852276,xgs_wavg
Itasca,SPN,CWT,Weight,1VNL,LVT,-0.07510552433589152,0.05041887035883008,0.052067367605366247,-0.007147654868085503,0.0716825464444268,0.008632092527244117,-0.0032141626773858623,8.977049553749936e-05,,-0.0027491521669709904,variance
Itasca,DIT,CWT,Weight,1VNL,VCT,0.2827,0.2325,0.1748,0.1388,0.1388,0.09849999999999999,0.0717,0.0717,0.0717,0.0717,vendor
Itasca,DIT,CWT,Weight,1VNL,VCT,2.48129948129948,0.3140075724348405,,,,,,,,,hist_avg
Itasca,DIT,CWT,Weight,1VNL,VCT,2.48129948129948,0.31483909325121534,,,,,,,,,hist_wavg
Itasca,DIT,CWT,Weight,1VNL,VCT,0.314523614523614,0.23244963480800052,,,,,,,,,xgs_avg
Itasca,DIT,CWT,Weight,1VNL,VCT,0.314523614523614,0.23244965470981846,,,,,,,,,xgs_wavg
Itasca,DIT,CWT,Weight,1VNL,VCT,2.166775866775866,0.08238943854139688,,,,,,,,,variance
Spectra Coppell,SPCP,CWT,Weight,1VNL,VCT,0.26530000000000004,0.2418,0.19269999999999998,0.161,0.161,0.1258,0.1057,0.1057,0.1057,0.1057,vendor
Itasca,SPCP,CWT,Weight,1VNL,VCT,0.9266714453921723,0.4716778411500362,0.24984999910136516,0.31222007526460155,0.2519283383739587,0.15753726494565795,0.14337417300656324,0.074515234534202,,,hist_avg
Itasca,SPCP,CWT,Weight,1VNL,VCT,0.9487220807683601,0.46372552224944674,0.24080842096933205,0.3240411375290323,0.24077892725494637,0.15642559702335884,0.13791091433235506,0.074515234534202,,,hist_wavg
Itasca,SPCP,CWT,Weight,1VNL,VCT,1.1173592932273224,0.24174361063413982,0.19265445065109293,0.16096252855687437,0.1609620184197497,0.12577028667075213,0.10493242147138784,0.0735451095844133,,,xgs_avg
Itasca,SPCP,CWT,Weight,1VNL,VCT,0.5416781209534762,0.2417435501386858,0.19265448532460475,0.16096252647823778,0.1609619960346546,0.12577030140225448,0.10468738656359823,0.0735451095844133,,,xgs_wavg
Itasca,SPCP,CWT,Weight,1VNL,VCT,0.40704395981488384,0.22198197211076096,0.04815393564472731,0.16307861105079452,0.07981693122029176,0.03065529562110436,0.033223527768756825,0.0009701249497886949,,,variance
Norcross,SPN,CWT,Weight,1VNL,VCT,0.12240000000000001,0.1115,0.08289999999999999,0.0626,0.0626,0.049699999999999994,0.0421,0.0421,0.0421,0.0421,vendor
Itasca,SPN,CWT,Weight,1VNL,VCT,0.5495026932375751,0.1439109224982442,0.09256994983043844,0.06899342075890258,0.0823538716558275,,0.0489736023767353,0.0427389225021388,0.027861605952710335,0.0103298650680939,hist_avg
Itasca,SPN,CWT,Weight,1VNL,VCT,0.358993056399536,0.13873329310685426,0.09117611870328801,0.07013603889532442,0.08337720228306371,,0.0495390770728014,0.0427389225021388,0.027570305271609207,0.010329865068093901,hist_wavg
Itasca,SPN,CWT,Weight,1VNL,VCT,0.9291859837639264,0.1360704089349202,0.08287951404908094,0.06258556323781765,0.0625856048125657,,0.0399361196983681,0.0256474635016003,0.0198817537264236,0.0209312803769931,xgs_avg
Itasca,SPN,CWT,Weight,1VNL,VCT,0.5150309639748392,0.1315299055389719,0.08287938978266862,0.06258549980693011,0.06258554445197421,,0.03952133085151256,0.025647463501600295,0.01986452928141137,0.020931280376993096,xgs_wavg
Itasca,SPN,CWT,Weight,1VNL,VCT,-0.15603790757530317,0.007203387567882358,0.00829672892061939,0.007550539088394315,0.020791657831089494,,0.010017746221288835,0.017091459000538507,0.007705775990197838,-0.010601415308899196,variance
