part_no,part_description,new_commodity_description
35810,"T&A SUPPLY\CUSTOM LVT\88162-XL-008\5MM\7""X48""",LVT
38375,"FLOORFOLIO\OMBRE\648-708 WOOD GRAIN\6""X48""",LVT
38894,"RIKETT\MEDELEY QUARTZ\8804 TRIBECA\24""X24""",VCT
40090,"SHAW\4381V RESIDE 20 MIL\94250 DWELLING\6""X47""",LVT
40589,"SHAW\0892V TERRAIN II 30 MIL\00370 AQUA\6""X48""",VCT
40601,"ALTRO\W137/44 WHITEROCK\44 ICE\3MMX4'X9'10""",VCT
40724,"MANNINGTON\SPACIA WOOD\SS5W12103 HERITAGE CHERRY SELECT\6""X36""",LVT
40861,"PATCRAFT\I692V MARK MAKING 2.5\00200 DAYLILY\5.96""X48""",LVT
40868,"PATCRAFT\I692V MARK MAKING 2.5\00500 PURE\5.96""X48""",LVT
41025,"MILLIKEN\FORTIFIED FOUNDATIONS ROSECLIFF CHERRY\RSC216\7""X48""",LVT
41925,"ALTRO\W137/32 WHITEROCK\OYSTER\4'X9'10""",VCT
41927,"MANNINGTON\SPACIA WOOD\SS5W12106 HERITAGE CHERRY NATURAL\6""X36""",LVT
41936,"MANNINGTON\SPACIA WOOD\SS5W12125 AMERICAN WALNUT COCOA\6""X36""",LVT
41939,"MANNINGTON\SPACIA WOOD\SS5W12107 HERITAGE CHERRY MERLOT\6""X36""",LVT
41946,"MANNINGTON\SPACIA WOOD\SS5W12377 WINDSOR OAK GAINSBORO\6""X36""",LVT
41949,"MANNINGTON\SPACIA WOOD\SS5W12388 WINDSOR OAK HONEYTONE\6""X36""",LVT
42486,"COBALT SURFACES\KATANGA LOOSE LAY LVT\KP5-818 SHIITAKE\4MMX7""X48""",LVT
43266,"SHAW\0993V JOY SQUARED\93595 FIREFLY\24""X24""",LVT
43267,"SHAW\0993V JOY SQUARED\93680 FIREWORK\24""X24""",LVT
43277,"SHAW\4372V INLET II\72240 DUNE\9""X48""",LVT
43538,"MANNINGTON\ACATICE LINES CRISSCROSS\ALC401 POP\18""X18""",LVT
43758,MILLIKEN\REMIX REMASTERED MIX TAPE TRIMLINE\MXT27 VINYL NO VIBE\50CMX50CM,VCT
43798,"MANNINGTON\AMTICO WOOD\AROW7660 LIMED WASHED WOOD\6""X36""",LVT
43803,"MANNINGTON\AMTICO WOOD\AROW7590 MERBAU\6""X36""",LVT
46137,"SHAW\0188V UNCOMMON GROUND\02720 ADIRONDACK\6""X36""",LVT
46951,"AMERICAN BUILTRITE\TEXAS GRANITE\VTG-147 MISSION WHITE\24""X24""",VCT
47412,"RICKETT\QUARTZ TILE\8834 PERSION INDIGO\24""X24""",VCT
47437,"TARKETT\EVENT WOOD HERITAGE PLANK\11219 EHP COVE\6""X48""",LVT
47646,"RICKETT\QUARTZ TILE\8821 SAND DOLLAR\24""X24""",VCT
47677,"RICKETT\QUARTZ TILE\8834 PERSIAN INDIGO\24""X24""",VCT
47680,"RICKETT\QUARTZ TILE\8842 KIWI\24""X24""",VCT
47684,"RICKETT\QUARTZ TILE\8872 WARM BISQUE\24""X24""",VCT
47693,"RICKETT\QUARTZ TILE\8943 JUNGLE\24""X24""",VCT
48143,"TARKETT\ID LATITUDE STONE & CONCRETE\7545 ARCTIC SKY\12""X24""",LVT
48759,"TARKETT\270293007 NUGEN CLICK\PIN OAK DRIFT\7""X60""",LVT
48855,"DALTILE\HALSTATT\HT41 HERITAGE\20 MIL\7-1/4""X48""",LVT
48989,"MANNINGTON\PARKLAND 20 USA\PRK104 NORDIC OAK\7""X48""",LVT
49274,FORBO\CORAL BRUSH TILE\5714 SHARK GREY\EVERFORT VINYL\50CMX50CM,VCT
50753,"ARMSTRONG\BIOME\ST283 BOREAL COPENHAGEN\9""X48""",LVT
50786,"FORBO\FLOTEX METRO\P946005 NIMBUS\39.37""X9.48""",VCT
51290,"FORBO\DR5 ALLURE DRYBACK\60284DR5 NATURAL GIANT OAK\70.87""X12.6""",LVT
51856,"MANNINGTON\ILLUSION\NW206 REVERIE\6""X48""",LVT
51863,"TARKETT\VICTORY MAGICS\8044 SUNSTONE\18""X18""",LVT
51938,"AMERICAN BILTRITE\MIRRA METALLIC\MT-003 CHARCOAL\18""X36""",LVT
52023,"ARMSTRONG\DUO\ST932 SPRETTO ENGLISH GREY\18""x36""",LVT
1000000116,Cobalt Surfaces-Katanga (KPS-xxx)-12 mil Glue Down-7in x 48In-2.0mm-Tundra (805),VCT
1000000907,Interface-Textured Stones (A003)-Luxury Vinyl Plank-50cm x 50cm-3mm (custom)-Medium Concrete (A00309),LVP
1000000929,Novalis-AVA 2SPRK-18in x 18in-2.5MM-Rushmore (2SP040),LVT
1000001147,Futura-LVT 130 Carpet Tile to LVT (402000)-3MM-12ft-Etched Aluminum,LVT
1000001367,Paradigm-Performer 12mil-7in x 60in-Spice (PPSPC1202),LVP
1000001405,Interface-Scorpio (A017xx)-22 mil High Performance LVT-50cm x 50cm-4.5 mm-Mushroom (A01714),LVT
1000001426,Mannington-Spacia Wood-6in x 36in-4MM-Madison Maple Pepper Bark (SS5W12237),LVT
1000001605,Mannington-Spacia Wood-6in x 36in-2.5MM-Heritage Cherry Natural (SS5W12106),LVT
1000001607,Tarkett-iD Latitude Wood-20 mil Techtonic Plank-6in x 48in-3 MM-Nordic  (7533),LVT
1000002650,Armstrong-Exelon SDT-Static Control-12in x 12in -3.2mm-Ridge (51957),VCT
1000002676,Interface-Northern Grain (A026)-25cm x1m-4.5MM-Oak Stain (A02611),LVT
1000002732,Cpt Tile-J&J Atmospheric -24in x 24in-Blue Kashi,LVP
1000002754,Shaw Contract-Reside (4381V)-20 mil squared edge-6in x 47in-2.5 MM-Dwelling (94250),LVT
1000002784,Forbo-Allura Wood-Vinyl Tile Plank-150cm x  28cm-2.2mm-Deep Country Oak (60302),LVP
1000002789,Novalis Innovative Flooring-AVA VRSE-20 mil-9.84in x39.37in-5.0MM-Lyric (VRS012L),LVT
1000002904,Powerhold-4MM Square Cap (LVT 904)-12ft-Bronze (BRZ),LVT
1000002941,Chilewich-Ikat Biofelt-LVP-6in x 36in-Sea,LVP
1000002974,Chilewich-Ikat Biofelt-LVP-6in x 36in-White Silver,LVP
1000002994,Evo Floors-Hybrid Vinyl Tile (HVT)-18in x 18in-Granite (335),VCT
1000003075,Tarkett-iD Latitude Wood-20 mil Techtonic Plank-6in x 48in-3 MM-Autumn Walnut (7538),LVT
1000003112,Shaw Ind-Terrain II (4490V)-LVP-12 MIL-6in x 48in-Thatch (00173),LVP
1000003251,Gerflor Contract Flooring-Creation 70-LVP-7.25in x 48in-2.5 MM-MIDWEST (0538),LVP
1000003274,Armstrong-Standard Excelon Imperial Texture-Vinyl Composition-12in x 12in-1/8in-Wineberry (57545),VCT
1000003285,Mannington-Nature's Paths Wood-6in x 36in (custom)-Northern Maple Espresso (12121),VCT
1000003287,Tarkett-iD Latitude Abstract-20 mil-6in x 36in-3 MM-LVP - Overcast (PLCZ 7560),LVP
1000003312,Shaw-T Molding LVT (HSTMD)-94.49in x 1.71in-Lighthouse (05091),LVT
1000003439,Shaw Patcraft-Treeline 20MIL (I707V)-LVT-7in x 48in-Bare (00132),LVT
1000003545,Shaw Ind-Terrain II (4490V)-LVP-12 MIL-6in x 48in-Echo (00775),LVP
1000003975,Mannington-Color Anchor Stride-18in x 36in (custom size)-Peanut Shell (C133),LVT
1000004133,TileBar Optoro LVT 12in x24in 28mil Chauny Marble Medium Gray,LVT
1000004242,GemCore Opal 20mil Plank 7in x 48in 5.0MM w/pad Painted Bevel - Perris,LVP
1000004363,Shaw Endura Plus (0736V) 7in x 48in - Castaway (07087),VCT
1000004383,Mannington-Amtico Signature Wood-40 mil wearlayer Vinyl Tile Plank-9in x 36in-2.5 MM-WHARF OAK (AROW8190),LVP
1000004451,ProSource Stonescape LVP 12in Formation Grey (OR03103),LVP
1000004453,Mannington Spacia Wood 6x36 Windsor Oak Gainsboro (SS5W12377),LVT
1000004487,Shaw Function 5.0 (4388V) 18 in x 18 in Transition (86501),LVT
1000004489,Shaw Function 5.0 (4388V) 18 in x 18 in Composite (86506),LVT
1000004492,DalTile Loften 12x24 Mineral,LVT
1000004534,Mannington Spacia Wood 7.25in x 48in 2.5MM - Windsor Oak Gunstock (SS5W12115),LVT
1000004560, Shaw Patcraft Sense (I634V) 20 Mil Squared Edge ExoGuard 9in x 36in 2.5 MM - Strength - VI (00115),VCT
1000004561,Mannington The Drift Abstract 30 mil Square Edge 6in x 48in 2.5 MM - Pax Burnished (D213),LVT
1000004574, Shaw Contract Reside (4381V) 20 mil squared edge 6in x 47in 2.5 MM - Inhabit (94155),LVP
1000004577, Mannington Amtico Abstract (Sigture) 40 Mil Unbevelled LVT 18in x 18in 2.5 MM - Linear Shale (AROALA31),LVT
1000004642,"AHF Contract Expressive Ideas 12"" x 12"", 2.5 MM Vinyl Based Tile, Grounded (1TE02810)",VCT
1000004652,ShawContract Compound + Cast 24x24 Instill (98585),VCT
1000004668,"Bentley Sustainable Mood/801991 9""x48"" LVT",LVT
1000004767, Parterre Vinyl Floor System Ingrained 6in Vinyl Tile Plank 6in x 36in 3 MM - Sanibel Walnut (11874),LVP
1000004784, Armstrong-Natural Creations EarthCuts Diamond 10-Luxury Vinyl Tile-18in x 18in-3.2 MM-Parsa Buttercream (NA312),LVT
1000004785,Armstrong Natural Creations with Diamond 10 Galena Oak 20mil Solid Luxury Vinyl 6in x 48in 3.2mm - Galena Oak Rye (NA180),LVT
1000004799,MANNINGTON SPACIA WOOD WARM CHERRY (SS5W2506) 7 1/4 X 48,LVT
1000004807,"Ram Board RBVCT3-108 Vapor Cure Tape 3""x108'",VCT
1000004842,"Boss Titan TTSTN242427M Stone LVT 24""x24""",LVT
1000004851,Mannington Spacia Wood 7.25in x 48in 2.5MM - Muted Oak (SS5W3312),LVT
1000004882, Milliken Laterals 22 Mil MicroBevel FlexForm Sound LVT 9in x 59in 5.0mm Sandline (LAT206),LVT
1000004922,American Biltrite Mirra Classic Wood LVT 4in x 36in 3 MM - Red Maple (WP004),LVT
1000005008,"Bentley Moment (BMMNT) 20 mil glue down plank 9in x 48in 2.5 MM - ORGANIC (801985)
PLEASE USE RESERVE NUMBER 5186992",LVP
1000005009,Parterre Vinyl Floor System Ingrained/Traditiol Solid/Luxury Vinyl 6in x 36in 3 MM - Modern Teak (11810),LVT
1000005020,Tarkett Heritage Plank EHP 6in x 48in 3.0MM - Heirloom (11220),LVP
1000005109,Mohawk Molveno Stones (C0109) 11.75in x 35.75in 6MM - Grey Matters (979),LVT
1000005141,Shaw Commercial Hard Surfaces Native Origins (0116V) Luxury Vinyl Plank 6in x 48in 2.5 MM - Rose wood (00650),LVP
1000005150,Armstrong Safety Zone Slip Retardent 12in x 12in 1/8 - Slate Black (57004),VCT
