site_description,site,unit,unitclass,commodity_group,commodity_description,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
Spectra Cincinnati,DCN,CWT,Weight,1VNL,VCT,23.51,18.3,13.62,10.02,7.02,7.02,5.43,5.43,5.43,5.43
Spectra Cincinnati,DCN,SQYD,Area,1CBL,Carpet Roll,0.4367,0.4231,0.414,0.4049,0.3958,0.4367,0.4231,0.414,0.4049,0.3958
Spectra Cincinnati,DCN,SQYD,Area,1CPT,Carpet Tile,0.7424,0.7193,0.7038,0.6884,0.6729,0.7424,0.7193,0.7038,0.6884,0.6729
Spectra Columbus,SPC,CWT,Weight,1VNL,LVT,25.09,20.64,15.51,12.33,8.74,8.74,6.36,6.36,6.36,6.36
Spectra Columbus,SPC,CWT,Weight,1VNL,LVP,25.09,20.64,15.51,12.33,8.74,8.74,6.36,6.36,6.36,6.36
Spectra Columbus,SPC,CWT,Weight,1VNL,VCT,25.09,20.64,15.51,12.33,8.74,8.74,6.36,6.36,6.36,6.36
Spectra Columbus,SPC,SQYD,Area,1CBL,Carpet Roll,0.4366,0.4284,0.4162,0.408,0.3999,0.4366,0.4284,0.4162,0.408,0.3999
Spectra Columbus,SPC,SQYD,Area,1CPT,Carpet Tile,0.7422,0.7283,0.7075,0.6937,0.6798,0.7422,0.7283,0.7075,0.6937,0.6798
ProSpectra Cerritos,PSC,CWT,Weight,1VNL,LVT,41.6,33.7,28.7,24.13,20.98,20.98,17.19,17.19,17.19,17.19
ProSpectra Cerritos,PSC,CWT,Weight,1VNL,LVP,41.6,33.7,28.7,24.13,20.98,20.98,17.19,17.19,17.19,17.19
ProSpectra Cerritos,PSC,CWT,Weight,1VNL,VCT,41.6,33.7,28.7,24.13,20.98,20.98,17.19,17.19,17.19,17.19
ProSpectra Cerritos,PSC,SQYD,Area,1CBL,Carpet Roll,0.7608,0.7443,0.7279,0.7114,0.6867,0.7608,0.7443,0.7279,0.7114,0.6867
ProSpectra Cerritos,PSC,SQYD,Area,1CPT,Carpet Tile,1.2934,1.2653,1.2374,1.2095,1.1674,1.2934,1.2653,1.2374,1.2095,1.1674
Diverzify St. Louis,DSL,CWT,Weight,1VNL,LVT,25.55,21.01,15.02,8.9,8.9,6.48,6.48,6.48,6.48,6.48
Diverzify St. Louis,DSL,CWT,Weight,1VNL,LVP,25.55,21.01,15.02,8.9,8.9,6.48,6.48,6.48,6.48,6.48
Diverzify St. Louis,DSL,CWT,Weight,1VNL,VCT,25.55,21.01,15.02,8.9,8.9,6.48,6.48,6.48,6.48,6.48
Diverzify St. Louis,DSL,SQYD,Area,1CBL,Carpet Roll,0.4365,0.4284,0.4161,0.408,0.3998,0.3998,0.3998,0.3998,0.3998,0.3998
Diverzify St. Louis,DSL,SQYD,Area,1CPT,Carpet Tile,0.7422,0.7283,0.7075,0.6937,0.6797,0.6797,0.6797,0.6797,0.6797,0.6797
Spectra Huntsville,SPHV,CWT,Weight,1VNL,LVT,16.4,14.95,11.11,8.37,8.37,6.67,5.64,5.64,5.64,5.64
Spectra Huntsville,SPHV,CWT,Weight,1VNL,LVP,16.4,14.95,11.11,8.37,8.37,6.67,5.64,5.64,5.64,5.64
Spectra Huntsville,SPHV,CWT,Weight,1VNL,VCT,16.4,14.95,11.11,8.37,8.37,6.67,5.64,5.64,5.64,5.64
Spectra Huntsville,SPHV,SQYD,Area,1CBL,Carpet Roll,0.6617,0.6494,0.6308,0.6184,0.6061,0.6061,0.6061,0.6061,0.6061,0.6061
Spectra Huntsville,SPHV,SQYD,Area,1CPT,Carpet Tile,1.1249,1.1039,1.0724,1.0513,1.0303,1.0303,1.0303,1.0303,1.0303,1.0303
Spectra Austin,SPA,CWT,Weight,1VNL,LVT,27.51,25.09,19.6,13.05,13.05,10.96,10.96,10.96,10.96,10.96
Spectra Austin,SPA,CWT,Weight,1VNL,LVP,27.51,25.09,19.6,13.05,13.05,10.96,10.96,10.96,10.96,10.96
Spectra Austin,SPA,CWT,Weight,1VNL,VCT,27.51,25.09,19.6,13.05,13.05,10.96,10.96,10.96,10.96,10.96
Spectra Austin,SPA,SQYD,Area,1CBL,Carpet Roll,0.6442,0.6244,0.6126,0.6046,0.5809,0.5809,0.5809,0.5809,0.5809,0.5809
Spectra Austin,SPA,SQYD,Area,1CPT,Carpet Tile,1.0951,1.0614,1.0414,1.0279,0.9876,0.9876,0.9876,0.9876,0.9876,0.9876
Spectra Sterling,SPS,CWT,Weight,1VNL,LVT,24.78,22.59,17.51,14.08,14.08,11.03,9.2,9.2,9.2,9.2
Spectra Sterling,SPS,CWT,Weight,1VNL,LVP,24.78,22.59,17.51,14.08,14.08,11.03,9.2,9.2,9.2,9.2
Spectra Sterling,SPS,CWT,Weight,1VNL,VCT,24.78,22.59,17.51,14.08,14.08,11.03,9.2,9.2,9.2,9.2
Spectra Sterling,SPS,SQYD,Area,1CBL,Carpet Roll,0.518,0.5071,0.4999,0.489,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745
Spectra Sterling,SPS,SQYD,Area,1CPT,Carpet Tile,0.8806,0.8621,0.8498,0.8313,0.8067,0.8067,0.8067,0.8067,0.8067,0.8067
ProSpectra Las Vegas,PSLV,CWT,Weight,1VNL,LVT,48.11,38.59,30.03,28.29,28.29,25.56,20.47,20.47,20.47,20.47
ProSpectra Las Vegas,PSLV,CWT,Weight,1VNL,LVP,48.11,38.59,30.03,28.29,28.29,25.56,20.47,20.47,20.47,20.47
ProSpectra Las Vegas,PSLV,CWT,Weight,1VNL,VCT,48.11,38.59,30.03,28.29,28.29,25.56,20.47,20.47,20.47,20.47
ProSpectra Las Vegas,PSLV,SQYD,Area,1CBL,Carpet Roll,1.0476,1.0272,1.0117,0.9863,0.9555,0.9555,0.9555,0.9555,0.9555,0.9555
ProSpectra Las Vegas,PSLV,SQYD,Area,1CPT,Carpet Tile,1.7809,1.7462,1.72,1.6766,1.6244,1.6244,1.6244,1.6244,1.6244,1.6244
"Louisville, KY",SPLV,CWT,Weight,1VNL,LVT,20.1,18.12,13.79,10.27,10.27,8.09,7.33,7.33,7.33,7.33
