po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004777,Milliken Revelation Pathway PWY105 Crest 50cmx1m,1CPT,Carpet Tile,70,SQYD,628.11,Carpet_Tile_1CPT_SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004776,Milliken Revelation Pathway PWY277 Forest 50cmx1m,1CPT,Carpet Tile,4.78,SQYD,628.11,Carpet_Tile_1CPT_SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004783,Milliken Pathway Revelation 01022555 Peppercorn 50cmx1m,1CPT,Carpet Tile,1780,SQYD,628.11,Carpet_Tile_1CPT_SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004783,Milliken Pathway Revelation 01022555 Peppercorn 50cmx1m,1CPT,Carpet Tile,0.84,SQYD,628.11,Carpet_Tile_1CPT_SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004774,Milliken Revelation Pathway PWY52 Sail 50cmx1m,1CPT,Carpet Tile,4.78,SQYD,628.11,Carpet_Tile_1CPT_SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004777,Milliken Revelation Pathway PWY105 Crest 50cmx1m,1CPT,Carpet Tile,4.78,SQYD,628.11,Carpet_Tile_1CPT_SQYD
34996,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",178345-009,Shaw Tile Plane Hexagon (5T054) Full Repeat 28.8 in x 24.9in - Royal (54429),1CPT,Carpet Tile,14,SQYD,125.65,Carpet_Tile_1CPT_SQYD
34996,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",178345-007,Shaw Tile Plane Hexagon (5T054) Full Repeat 28.8 in x 24.9in - Chartreuse (54325),1CPT,Carpet Tile,5,SQYD,125.65,Carpet_Tile_1CPT_SQYD
34996,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",178345-011,Shaw Tile Plane Hexagon (5T054) Full Repeat 28.8 in x 24.9in - Cyan (54436),1CPT,Carpet Tile,5,SQYD,125.65,Carpet_Tile_1CPT_SQYD
35058,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",200044-035,Interface Cubic (1380102500) Tufted Texture Loop 19.69in x 19.69in - Zenith (106072),1CPT,Carpet Tile,131.56,SQYD,179.79,Carpet_Tile_1CPT_SQYD
