supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
"Mannington Mills, Inc.",1000020120,Mannington Color Anchor Groove Unbeveled 18 X 18 20mil - London Fog (C119),LVT,1VNL
"Mannington Mills, Inc.",1000020100,Mannington Spacia Wood Unbeveled (SS5W2504) 7.5 X 48 20mil -Honey Oak (SS5W2504),LVT,1VNL
"Mannington Mills, Inc.",1000020448,Mannington COLOR ANCHOR-GROOVE-UNBEVELED 18 X 18 20MIL C155 GRANNY SMITH VINYL TILE8,LVT,1VNL
"Mannington Mills, Inc.",1000020122,Mannington Color Anchor Groove Unbeveled 18 X 18 20mil - Big Wave (C150),LVT,1VNL
"Mannington Mills, Inc.",1000020446,Mannington COLOR ANCHOR-STRIDE-UNBEVELED 6 X 36 20MIL C175 GRANNY SMITH VINYL TILE,LVT,1VNL
"Shaw Industries, Inc.",1000025764,Shaw Pgment (0365V) 7in x 48in Grey (65530),Vinyl Tile,1VNL
"Shaw Industries, Inc.",1000025829,Shaw Industries Quiet Canvas-Artesian Shaw Sheet Vinyl-Artesian 12in'2mm 00201 Historian SHEET VINYL,ROLL,1VNL
J.J. Haines & Company,126732-103,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Golden (51878),VCT,1VNL
J.J. Haines & Company,126732-032,Armstrong Standard Excelon Imperial Texture Vinyl Composition 12in x 12in 1/8in - Desert Beige (51809),VCT,1VNL
J.J. Haines & Company,191791-027,Armstrong Crown Texture (Premium Excelon Crown Tex) Vinyl Composition 12in x 12in 3.2 MM - SILK (5C234),VCT,1VNL
