site_description,site,unit,unitclass,commodity_group,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M,source,statistic,metric
SPN,SPN,SQYD,Area,1CPT,2.42000450045004,0.7799430527536415,1.0423061498623178,0.4706614422245553,0.26907018219538104,0.154880324570504,0.115651541937404,,,,all_states_historical_market_q3,2.21341973244147,Q3
SPN,SPN,SQYD,Area,1CPT,0.604774535809018,0.588861588861588,0.449640589429534,0.271635188607753,0.177775181608294,0.118647888070907,0.114969673484796,,,,georgia_historical_xgs_median,0.604757440824935,median
SPN,SPN,SQYD,Area,1CPT,0.7194181816635583,0.5888609911882658,0.4485346614345818,0.2840644501792228,0.1725268063648134,0.118647888070907,0.114969673484796,,,,georgia_historical_xgs_wavg,0.4218558997454352,weighted average
SPN,SPN,SQYD,Area,1CPT,2.0564381270903,0.5888643976428005,0.5384543841917043,0.298338641044382,0.18782318469481274,0.118647888070907,0.114969673484796,,,,georgia_historical_xgs_q3,1.5374278357567224,Q3
SPN,SPN,SQYD,Area,1CPT,1.1312218574108714,0.699599999999999,0.6075562552838052,0.37046782282276314,0.27172648299216634,0.16417314404473424,0.12259063445364825,,,,recommended_median,0.8369240816326529,median
SPN,SPN,SQYD,Area,1CPT,1.0870254336432068,0.6526990162866133,1.0058796886451682,0.42578539290254525,0.24681246603583137,0.16417314404473424,0.12259063445364825,,,,recommended_wavg,0.6484378638994899,weighted average
SPN,SPN,SQYD,Area,1CPT,2.5652047704770427,0.826804235699136,1.104844518854057,0.5042678764820714,0.2874785512520248,0.16417314404473424,0.12259063445364825,,,,recommended_q3,2.3462249163879587,Q3
SPN,SPN,SQYD,Area,1CPT,,,,,,,,,,,recommended_min,0.6484378638994899,unknown
SPN,SPN,SQYD,Area,1CPT,,,,,,,,,,,recommended_middle,0.8369240816326529,unknown
SPN,SPN,SQYD,Area,1CPT,,,,,,,,,,,recommended_max,2.3462249163879587,unknown
Tampa,SPT,SQYD,Area,1CPT,0.8702391509433962,0.8493551886792453,0.8353584905660377,0.8213617924528301,0.7867033018867926,0.7867033018867926,0.7867033018867926,0.7867033018867926,0.7867033018867926,0.7867033018867926,vendor,,baseline
SPT,SPT,SQYD,Area,1CPT,1.40018744142455,1.0398909307137099,1.18125,1.3786492700569801,1.46647305250713,,,,,,georgia_historical_market_median,1.38398829431438,median
SPT,SPT,SQYD,Area,1CPT,1.4329235068928066,1.13744960436698,1.1937879379049612,1.2991864727393148,1.46647305250713,,,,,,georgia_historical_market_wavg,1.304389644413964,weighted average
SPT,SPT,SQYD,Area,1CPT,2.16259478889905,1.376831350272615,1.39813383392226,1.433810422449695,1.46647305250713,,,,,,georgia_historical_market_q3,1.8238270237535148,Q3
SPT,SPT,SQYD,Area,1CPT,1.41499169010483,1.019808099195932,1.18125,1.3786492700569801,1.46647305250713,,,,,,all_states_historical_market_median,1.39061504549716,median
SPT,SPT,SQYD,Area,1CPT,1.4719603289285956,1.1500050974400773,1.1937879379049612,1.2991864727393148,1.3234049754611577,,,,,,all_states_historical_market_wavg,1.3173849060918261,weighted average
SPT,SPT,SQYD,Area,1CPT,2.4591100543478226,1.3827342989289126,1.39813383392226,1.433810422449695,1.94324708919289,,,,,,all_states_historical_market_q3,2.1764839817940347,Q3
SPT,SPT,SQYD,Area,1CPT,0.870274527452745,0.8493557970598771,0.835358882308554,0.8213607882205435,0.607725678574955,,,,,,georgia_historical_xgs_median,0.870253287304604,median
