po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code,est_commodity_group,est_discount_area,est_discount_cwt,est_estimated_area_cost,est_estimated_cwt_cost,est_freight_class_area,est_freight_class_cwt,est_freight_class_lbs,est_lbs,est_rate_area,est_rate_cwt,est_sqyd,est_uom
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004774,Milliken Revelation Pathway PWY52 Sail 50cmx1m,1CPT,Carpet Tile,4.78,SQYD,628.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3.67,4.5,L5C,,L5C,17.75,0.7685,25.37,4.78,SQYD
34865,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,1000004777,Milliken Revelation Pathway PWY105 Crest 50cmx1m,1CPT,Carpet Tile,4.78,SQYD,628.11,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3.67,4.5,L5C,,L5C,17.75,0.7685,25.37,4.78,SQYD
34996,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",178345-009,Shaw Tile Plane Hexagon (5T054) Full Repeat 28.8 in x 24.9in - Royal (54429),1CPT,Carpet Tile,14.0,SQYD,125.65,Carpet_Tile_1CPT_SQYD,1CPT,1,1,10.76,13.19,L5C,,L5C,51.98,0.7685,25.37,14.0,SQYD
34996,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",178345-007,Shaw Tile Plane Hexagon (5T054) Full Repeat 28.8 in x 24.9in - Chartreuse (54325),1CPT,Carpet Tile,5.0,SQYD,125.65,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3.84,4.71,L5C,,L5C,18.56,0.7685,25.37,5.0,SQYD
34996,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",178345-011,Shaw Tile Plane Hexagon (5T054) Full Repeat 28.8 in x 24.9in - Cyan (54436),1CPT,Carpet Tile,5.0,SQYD,125.65,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3.84,4.71,L5C,,L5C,18.56,0.7685,25.37,5.0,SQYD
35058,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",200044-035,Interface Cubic (1380102500) Tufted Texture Loop 19.69in x 19.69in - Zenith (106072),1CPT,Carpet Tile,131.56,SQYD,179.79,Carpet_Tile_1CPT_SQYD,1CPT,1,1,103.06,123.91,L5C,,L5C,488.42,0.7834,25.37,131.56,SQYD
35106,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",209134-003,Interface Open Air 420 (1475402500) tufted Textured Loop 50cm x 50cm - Iron (107058),1CPT,Carpet Tile,23.92,SQYD,150.38,Carpet_Tile_1CPT_SQYD,1CPT,1,1,18.38,22.53,L5C,,L5C,88.8,0.7685,25.37,23.92,SQYD
35106,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",209134-003,Interface Open Air 420 (1475402500) tufted Textured Loop 50cm x 50cm - Iron (107058),1CPT,Carpet Tile,83.0,SQYD,150.38,Carpet_Tile_1CPT_SQYD,1CPT,1,1,63.79,78.17,L5C,,L5C,308.14,0.7685,25.37,83.0,SQYD
35428,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",178606-006,Shaw Contract Bevel Hexagon (5T057) Multi Level Pattern Cut/Loop 28.8 in x 24.9in - Tweed (55530),1CPT,Carpet Tile,4.99,SQYD,8.16,Carpet_Tile_1CPT_SQYD,1CPT,1,1,3.83,4.7,L5C,,L5C,18.53,0.7685,25.37,4.99,SQYD
35447,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",204296-007,Shaw Patcraft Surface Striation (I0552) Multi Level Pattern Loop 24in x 24in - Meteorite (00550),1CPT,Carpet Tile,20.0,SQYD,950.21,Carpet_Tile_1CPT_SQYD,1CPT,1,1,14.84,16.98,L5C,,L5C,74.25,0.7422,22.87,20.0,SQYD
35447,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",204296-007,Shaw Patcraft Surface Striation (I0552) Multi Level Pattern Loop 24in x 24in - Meteorite (00550),1CPT,Carpet Tile,20.0,SQYD,950.21,Carpet_Tile_1CPT_SQYD,1CPT,1,1,14.84,16.98,L5C,,L5C,74.25,0.7422,22.87,20.0,SQYD
35447,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",204296-007,Shaw Patcraft Surface Striation (I0552) Multi Level Pattern Loop 24in x 24in - Meteorite (00550),1CPT,Carpet Tile,9.0,SQYD,950.21,Carpet_Tile_1CPT_SQYD,1CPT,1,1,6.68,7.64,L5C,,L5C,33.41,0.7422,22.87,9.0,SQYD
35447,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",204296-007,Shaw Patcraft Surface Striation (I0552) Multi Level Pattern Loop 24in x 24in - Meteorite (00550),1CPT,Carpet Tile,20.0,SQYD,950.21,Carpet_Tile_1CPT_SQYD,1CPT,1,1,14.84,16.98,L5C,,L5C,74.25,0.7422,22.87,20.0,SQYD
35447,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",204296-007,Shaw Patcraft Surface Striation (I0552) Multi Level Pattern Loop 24in x 24in - Meteorite (00550),1CPT,Carpet Tile,20.0,SQYD,950.21,Carpet_Tile_1CPT_SQYD,1CPT,1,1,14.84,16.98,L5C,,L5C,74.25,0.7422,22.87,20.0,SQYD
