site_description,site,site_description,unit,unitclass,freightclass,oldfreightclass,commodity_group,commodity_description,origin,origin_zip,destination,destination_zip,minimum_charge,ftl_flat_rate,old_discount,new_discount,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
Spectra San Antonio,SPSA,,CWT,Weight,70,40,1VNL,LVT,GA,30720,TX,78247,108.59,2421.6,0.7795,0.7995,28,25.52,20.34,16.99,13.28,13.28,11.16,11.16,11.16,11.16
Spectra San Antonio,SPSA,,CWT,Weight,70,40,1VNL,LVP,GA,30720,TX,78247,108.59,2421.6,0.7795,0.7995,28,25.52,20.34,16.99,13.28,13.28,11.16,11.16,11.16,11.16
Spectra San Antonio,SPSA,,CWT,Weight,70,40,1VNL,VCT,GA,30720,TX,78247,108.59,2421.6,0.7795,0.7995,28,25.52,20.34,16.99,13.28,13.28,11.16,11.16,11.16,11.16
Spectra San Antonio,SPSA,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,TX,78247,73.03,2421.6,0.7795,0.7995,0.6175,0.6011,0.593,0.5848,0.5644,0.6175,0.6011,0.593,0.5848,0.5644
Spectra San Antonio,SPSA,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,TX,78247,73.03,2421.6,0.7795,0.7995,1.0497,1.0219,1.0081,0.9941,0.9594,1.0497,1.0219,1.0081,0.9941,0.9594
Spectra Los Angeles,SPLA,,CWT,Weight,70,40,1VNL,LVT,GA,30720,CA,90017,135.07,4320,0.7795,0.7995,41.6,33.7,28.7,24.13,20.98,20.98,17.19,17.19,17.19,17.19
Spectra Los Angeles,SPLA,,CWT,Weight,70,40,1VNL,LVP,GA,30720,CA,90017,135.07,4320,0.7795,0.7995,41.6,33.7,28.7,24.13,20.98,20.98,17.19,17.19,17.19,17.19
Spectra Los Angeles,SPLA,,CWT,Weight,70,40,1VNL,VCT,GA,30720,CA,90017,135.07,4320,0.7795,0.7995,41.6,33.7,28.7,24.13,20.98,20.98,17.19,17.19,17.19,17.19
Spectra Los Angeles,SPLA,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,CA,90017,84.89,4320,0.7795,0.7995,0.7608,0.7443,0.7279,0.7114,0.6867,0.7608,0.7443,0.7279,0.7114,0.6867
Spectra Los Angeles,SPLA,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,CA,90017,84.89,4320,0.7795,0.7995,1.2934,1.2653,1.2374,1.2095,1.1674,1.2934,1.2653,1.2374,1.2095,1.1674
Spectra West Valley City,SPWV,,CWT,Weight,70,40,1VNL,LVT,GA,30720,UT,84120,148.31,3972.19,0.7795,0.7995,38.33,31.07,26.45,22.24,19.34,19.34,15.85,15.85,15.85,15.85
Spectra West Valley City,SPWV,,CWT,Weight,70,40,1VNL,LVP,GA,30720,UT,84120,148.31,3972.19,0.7795,0.7995,38.33,31.07,26.45,22.24,19.34,19.34,15.85,15.85,15.85,15.85
Spectra West Valley City,SPWV,,CWT,Weight,70,40,1VNL,VCT,GA,30720,UT,84120,148.31,3972.19,0.7795,0.7995,38.33,31.07,26.45,22.24,19.34,19.34,15.85,15.85,15.85,15.85
Spectra West Valley City,SPWV,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,UT,84120,87.85,3972.19,0.7795,0.7995,0.8049,0.798,0.7797,0.7712,0.7375,0.8049,0.798,0.7797,0.7712,0.7375
Spectra West Valley City,SPWV,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,UT,84120,87.85,3972.19,0.7795,0.7995,1.3684,1.3397,1.3254,1.311,1.2537,1.3684,1.3397,1.3254,1.311,1.2537
Spectra Cincinnati,DCN,,CWT,Weight,70,40,1VNL,LVT,GA,30720,OH,45215,101.96,1363.39,0.7795,0.7995,23.51,18.3,13.62,10.02,7.02,7.02,5.43,5.43,5.43,5.43
Spectra Cincinnati,DCN,,CWT,Weight,70,40,1VNL,LVP,GA,30720,OH,45215,101.96,1363.39,0.7795,0.7995,23.51,18.3,13.62,10.02,7.02,7.02,5.43,5.43,5.43,5.43
Spectra Cincinnati,DCN,,CWT,Weight,70,40,1VNL,VCT,GA,30720,OH,45215,101.96,1363.39,0.7795,0.7995,23.51,18.3,13.62,10.02,7.02,7.02,5.43,5.43,5.43,5.43
